day,on_frac,q_unknown_map,q_true
3.584722757339477539e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
3.588194608688354492e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
3.591666936874389648e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
3.595139503479003906e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
3.598611116409301758e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
3.602083444595336914e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
3.605556249618530273e+00,-4.000000059604644775e-01,-2.871148347854614258e+00,-3.600000143051147461e+00
3.609027862548828125e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.612500190734863281e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.615972757339477539e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.619444608688354492e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.622916936874389648e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.626389503479003906e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.629861116409301758e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.633333444595336914e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.636806249618530273e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.640277862548828125e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.643750190734863281e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.647222757339477539e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.650694608688354492e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.654166936874389648e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.657639503479003906e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.661111116409301758e+00,-2.000000029802322388e-01,-1.435574173927307129e+00,-1.800000071525573730e+00
3.664583444595336914e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
3.668056249618530273e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
3.671527862548828125e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
3.675000190734863281e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
3.678472757339477539e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
3.681944608688354492e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
3.685416936874389648e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
3.688889503479003906e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
3.692361116409301758e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
3.695833444595336914e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
3.699306249618530273e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
3.702777862548828125e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
3.706250190734863281e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
3.709722757339477539e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
3.713194608688354492e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
3.716666936874389648e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
3.720139503479003906e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
3.723611116409301758e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
3.727083444595336914e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
3.730556249618530273e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
3.734027862548828125e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
3.737500190734863281e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
3.740972757339477539e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
3.744444608688354492e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
3.747916936874389648e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
3.751389503479003906e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
3.754861116409301758e+00,-1.000000000000000000e+00,-7.177870750427246094e+00,-9.000000000000000000e+00
3.758333444595336914e+00,-6.000000238418579102e-01,-4.306722640991210938e+00,-5.400000095367431641e+00
3.761806249618530273e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.765277862548828125e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.768750190734863281e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.772222757339477539e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.775694608688354492e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.779166936874389648e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.782639503479003906e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.786111116409301758e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.789583444595336914e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.793056249618530273e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.796527862548828125e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.800000190734863281e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.803472757339477539e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.806944608688354492e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.810416936874389648e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.813889503479003906e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.817361116409301758e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.820833444595336914e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.824306249618530273e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.827777862548828125e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.831250190734863281e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.834722757339477539e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.838194608688354492e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.841666936874389648e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.845139503479003906e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.848611116409301758e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.852083444595336914e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
3.855556249618530273e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
